Row	Col.	Element
15	10	-0.01091
16	10	-0.00549
17	10	-0.00131
18	10	0.00203
19	10	-0.00800
20	10	-0.00020
21	10	0.00746
22	10	-0.00141
23	10	0.00318
24	10	0.02836
25	10	-0.00003
26	10	0.00732
27	10	-0.00061
28	10	-0.00015
29	10	0.00378
30	10	0.00767
31	10	0.00225
32	10	0.00167
33	10	0.00007
34	10	0.00046
35	10	-0.00008
36	10	0.00233
37	10	-0.00036
38	10	0.00083
39	10	-0.00007
40	10	0.00018
41	10	-0.00011
42	10	-0.00031
43	10	-0.00653
44	10	-0.00310
45	10	0.00598
46	10	0.00138
47	10	-0.00437
48	10	0.00726
49	10	-0.00015
50	10	-0.00190
51	10	-0.00001
52	10	-0.00024
53	10	-0.00014
54	10	-0.00096
55	10	-0.00327
56	10	0.00063
57	10	-0.00179
58	10	0.00075
59	10	-0.00051
60	10	0.00257
61	10	-0.00046
62	10	0.00472
63	10	-0.00107
64	10	0.00042
65	10	-0.00145
66	10	-0.00029
67	10	0.00082
68	10	0.00014
69	10	0.00058
70	10	0.00063
71	10	0.00179
72	10	-0.00135
73	10	0.00342
74	10	0.00249
75	10	0.00137
76	10	0.00000
77	10	0.00002
78	10	0.00008
79	10	0.00001
80	10	-0.00007
81	10	0.00003
82	10	-0.00008
83	10	0.00001
84	10	-0.00007
85	10	-0.00002
86	10	-0.00010
87	10	0.00006
88	10	0.00002
1	11	-0.03107
2	11	-0.01335
3	11	-0.00532
4	11	-0.01921
5	11	-0.09327
6	11	-0.02012
7	11	-0.10657
8	11	-0.05303
9	11	-0.04076
10	11	0.04710
11	11	-0.98435
12	11	-0.02147
13	11	0.09306
14	11	0.04625
15	11	0.02824
16	11	0.02060
17	11	0.00084
18	11	-0.00527
19	11	-0.00108
20	11	-0.02434
21	11	-0.00303
22	11	0.00018
23	11	0.00114
24	11	-0.00230
25	11	0.00970
26	11	0.00321
27	11	0.01773
28	11	-0.00801
29	11	0.00200
30	11	0.00344
31	11	0.00243
32	11	-0.00025
33	11	0.00169
34	11	0.00354
35	11	0.00041
36	11	-0.00132
37	11	0.00066
38	11	-0.00148
39	11	0.00032
40	11	0.00029
41	11	-0.00338
42	11	-0.00094
43	11	-0.00479
44	11	0.00085
45	11	0.00145
46	11	0.00093
47	11	0.00037
48	11	-0.00548
49	11	-0.00126
50	11	0.00389
51	11	-0.00000
52	11	0.00022
53	11	0.00054
54	11	-0.00024
55	11	-0.00264
56	11	0.00188
57	11	-0.00269
58	11	-0.00140
59	11	-0.00243
60	11	-0.00255
61	11	-0.00011
62	11	-0.00282
63	11	-0.00161
64	11	-0.00416
65	11	0.00120
66	11	0.00301
67	11	-0.00086
68	11	0.00018
69	11	-0.00179
70	11	-0.00303
71	11	-0.00044
72	11	0.00004
73	11	-0.00299
74	11	0.00087
75	11	0.00095
76	11	0.00003
77	11	-0.00004
78	11	0.00002
79	11	0.00003
80	11	-0.00000
81	11	-0.00003
82	11	-0.00003
83	11	-0.00003
84	11	-0.00001
85	11	-0.00007
86	11	-0.00005
87	11	-0.00007
88	11	0.00003
1	12	0.04061
2	12	-0.00825
3	12	0.00166
4	12	-0.00541
5	12	-0.00242
6	12	-0.00610
7	12	-0.03383
8	12	-0.03273
9	12	0.09893
10	12	-0.02147
11	12	0.02393
12	12	0.89643
13	12	0.40442
14	12	0.17771
15	12	0.01695
16	12	-0.00641
17	12	-0.00026
18	12	-0.00275
19	12	-0.00249
20	12	-0.00016
21	12	0.00485
22	12	-0.00753
23	12	0.02488
24	12	0.01848
25	12	0.00019
26	12	0.00453
27	12	0.00162
28	12	0.00320
29	12	0.00241
30	12	0.00545
31	12	0.00103
32	12	0.00348
33	12	-0.00087
34	12	-0.00032
35	12	-0.00035
36	12	-0.00214
37	12	-0.00034
38	12	-0.00106
39	12	-0.00059
40	12	-0.00122
41	12	0.00015
42	12	0.00061
43	12	-0.00566
44	12	-0.00172
45	12	0.00361
46	12	0.00041
47	12	-0.00224
48	12	0.00255
49	12	0.00059
50	12	0.00013
51	12	-0.00020
52	12	-0.00062
53	12	0.00065
54	12	-0.00165
55	12	-0.00205
56	12	0.00196
57	12	-0.00066
58	12	-0.00003
59	12	-0.00119
60	12	0.00257
61	12	-0.00101
62	12	0.00396
63	12	0.00094
64	12	-0.00016
65	12	-0.00161
66	12	0.00066
67	12	0.00021
68	12	0.00051
69	12	0.00158
70	12	0.00223
71	12	0.00124
72	12	-0.00052
73	12	-0.00063
74	12	-0.00027
75	12	0.00121
76	12	-0.00002
77	12	0.00002
78	12	-0.00003
79	12	-0.00001
